weibo_text,豆包评分,opposite_sex_social_avoidance,相似性
其实我也挺厌男的，童年过得并不快乐，想去哪里都去不到，写不好作业考不了好成绩就被爸爸打，即使我考得不错他也没奖励我什么，我有一段时间是放弃学习的，无论我怎么样都是白费的，小学中后段还被班里的男孩子集体排挤欺负我，所以对男孩子阴影很深。在原生态来讲我根本不信任任何一个男人包括我爸爸，即使他现在做生意有些钱了，能来弥补过去的错误，身边的男生都比较随和友好，不像之前那些混账对我拳打脚踢的，但是心灵的伤疤是完全好不了的，它就在那里无论怎么粉饰它，它总是会在那里，唯一能做的就是不伤害它，防止它继续流血。然而有的人明明就听了我的很多经历，但却装聋作哑，即使你经历的痛苦比我多也不允许用你的自私和欲望来伤害我，恶心我，这让我更加厌恶男人，更加对男人没有共情能力，难以对任何一个男人产生一点点信任感和安全感，你永远得不到你想要的，我在此永远地诅咒你。,2,3.5,
讲道理，我以前对男性真的没有过多的厌恶或者不喜欢，但是今天发生的事情让我彻彻底底的开始厌男了,2,1.5,
#唐山男子打人前对女孩说侮辱性字眼#真的很恶心男的是不是整天就知道那点事?看了这两天的新闻之后真的失望透顶本来对恋爱抱有幻想的我逐渐开始产生恐男情绪我还是好好追星吧,2,3,
真的好讨厌猪男啊吃饭要哼吃完一躺抽烟喝酒不干事每日恐婚恐男+1,2,3,
#上外通报一学生被投放异物#最近真的恐男套餐刷新三观,2,3,
在今天我要表明一下自己的立场，顺直朋友们如果你在我这里吐槽你的老公又转头与他相爱，我会恨你并且与你绝交。不要把我当垃圾桶，我就是脑子拐不过弯，无法根据现实情况改变思想，会站在你立场上狠狠讨厌你的老公，顺便讨厌世界上所有的男人。是的，我厌男是你害的。,2,2,
我真的特别讨厌厌男不包括正常男性这种说辞，既然你讨厌的只是不正常男性那不是厌男，那是讨厌sb,2,1,
真真真真真的恐男完全不知道怎么回复别人消息尴尬极了尴尬极了毁灭吧,2,1.5,
#网传女子被男子拖拽进厕所隔间#又是恐男小技巧啊！,2,3,
想说明一下我昨天那个微博（没说清所以删了我说我厌男厌恶的是那类油腻自以为是大男子主义的渣男看qj以及对女性施暴的新闻看的我真的好心痛小吴推荐我看的摩天大楼我不敢看女性到底要怎样做才能平平安安呢？受害者不光是女性还有男性（推荐看卷福演的帕特里克梅尔罗斯）那些畜生只会用下半身思考的蠕虫不他们连思考都不会连畜生都不如根本不配活着?如果法律都没办法作为最后的保障受害人该有多绝望啊？！,2,4.5,
我的厌男情绪通常在虎扑步行街发我喜欢的小姐姐的博的评论区里呈指数上升,2,2,
#孕妇出车祸瘫痪丈夫欲离婚#妇联存在吗？恐男了…,2,3,
一天一个恐男小技巧今天听室友说她今天看到的一件事成功让我yue了,2,3,
#男子因吵架拿啤酒瓶刺死女友#每天一个恐男小故事,2,3,
西八当我发现不止一个男的上厕所不洗手我恐男+1分,2,3,
#缩短教育时间能提高生育率吗#跟本就不是这个问题好吧，现代女性不想结婚生孩子是因为太多的家暴出轨，男的膀大腰圆（不是说所有）啥事没有，女性胖就会因此自卑焦虑（不是说所有），女性想离婚也会因为孩子有顾虑（不是说孩子有错），一面要面临生孩子的痛苦和风险以及抚养孩子长大的责任一面又要面临可能找到一个人渣的风险。而且其实很多时候其实女性如果经济独立就算有孩子也不会有任何问题，在国外就可以买j子，但前提得有钱，只是这对孩子比较不公平，现在中国的女性虽然相较别国受教育程度要高出很多，但还是会有挺多不公平待遇，能靠自己的努力去争取高质量且独立自由的生活，为什么要冒着可能找到一个人渣的风险去过日子呢（况且并不是所有人都这么想）所以缩短教育时间只会让女性学习更加刻苦努力实现财富自由，厌男使生育率再次下降，要真想提高生育率，你可以研究研究人工子宫造就双性人，这样你好我好大家都好,2,3,
今天又是恐男的一天呢intoyou04针不戳,2,1.5,
今天本来心情很好的，但是刚刚看微博刷到了西安地铁的事件，真的忍不住自我带入了一下，不管原因为何，那种大庭广众之下被男性扯得衣衫不整，那种无力的绝望感，真的让人心生恐惧。这个社会，真的太让我恐男厌男了，突然就觉得我磕的夫夫cp都是些什么绝世好男人啊，哎！或许这就应了那句话：男的和男的过得很幸福，女的和女的过得也很幸福，但是男的和女的就过不到一起吧。和我身边的朋友聊天，大家的恋爱观婚姻观都差不多，总的来说就是：结个屁婚谁愿意生孩子谁生去吧啥都不如?来的实在，哈哈，我还想着以后和我的姐妹手拉手去跳广场舞哪。以后不刷微博了，真是太影响心情，哼，生气ing！,2,3,
另一个快角度来看我还得谢谢你让我恐男恐恋的情绪又到达顶点,2,2.5,
#遭追求者砍杀女硕士家属发声#每天一个阴间新闻，不说了，恐男的不知道第多少天,2,3,
#妻子流产抑郁加重男子申请撤销婚姻#本来因为学习的事就烦恐男+1,2,2.5,
#女子称怀孕7月被男友打致先兆流产#每天一个恐男小技巧,2,3,
今天的微博热搜是为了让女性更加害怕吗一连串真的给人整恐婚恐男了（非恐正常男性）,2,2.5,
#25岁小伙胸部B罩杯被分手了#每日恐男每次看见肥头油腻猪就觉得年夜饭会吐出来,2,4,
XYG电子竞技俱乐部超话家人们我感觉我有点恐男难搞,2,1.5,
恐男了…………抖音上看到肥头大脸带金链子的都慎得慌,2,4,
谁能懂我总是在厌男和想谈恋爱#男子结扎#中反复横跳,2,1,
通过和异性朋友的相处，真的让我越来越恐男了,2,2.5,
#将女友推向行驶中公交车男子被刑拘#一天一个恐男新闻这样太恶毒了,2,3,
这几天的新闻看的我多少有点恐男了原来我的朋友们都这么正常这么可爱,2,1.5,
朋友：你现在还厌男吗？我：没有没有，我现在男的女的都恨。,2,1.5,
#鲍毓明回应性侵养女#真好，我又厌男了，，每过几天都要经历一次厌男，，真的醉了男人还能不能让我相信了,2,3,
哈除了对象家人我他妈直接厌男恶心不死了怎么,2,4,
众所周知雕男都喜欢focus美女有些人嘴这么贱真的没?玩意今天也恐男了,2,3,
我对厌男抱有警惕心。然而我从有性别意识到现在为止，就算遇到可怕的事情，被莫名其妙诋毁和恶意中伤，我也不认为他们是群体的问题，这是个人问题，不当归于男人，应该归于人渣。当我在说男的都不是什么好东西的时候，我确实不这么认为，justkidding!身边不乏有温暖的男性，他们用自己的尊重为女性抵挡黑暗和伤害，他们实在不应该被那些标准框进去。人渣就是人渣，不论年龄，更不论性别。,1,2,
#南京女大学生被害案即将一审宣判#太可怕了太可怕了太可怕了越来越恐男了,2,3,
#被丈夫多次碾压致死女子弟弟发声#恐男再加分,2,3,
我之前分手吧还没有真的恐男这男的真的让我害怕了人怎么能完全没有心我思考了一个半月,2,3,
#上外通报一学生被投放异物##上外尹某某已被公安带走#恐男不是没有道理的，结婚率出生率低，离婚率高，也都不是没有道理的，每次这种事都是在教女性要怎么保护自己的，难道不应该教男性要怎么做一个正常人?控制自己的恶心思想恶心行为付诸于实践?上次烧烤店说女生不应该那么晚外面，这次呢，光天化日大白天还不允许人家正常进出学校图书馆了？,2,3,
能不能别找我啊！爱上老公之后我就开始恐男了。经不起折腾，真的[自抱][自抱],2,1,
#遭追求者砍杀女硕士家属发声#天天一恐男新闻,2,3,
#晋江月逝水#qswlqswlqswl日常恐男，呕了心疼太太，希望所有姐妹都擦亮双眼，为这种人太不值了这种腐肉就要快刀斩乱麻，赶紧割离赚着稿费一人吃穿不愁不香吗,2,4,
所以我这些年越来越恐婚恐育恐男不是没有原因的我曾经也期待过跟喜欢的人结婚生子过一生，但这些年的所见所闻让我对婚姻和男人都感到害怕。,2,2.5,
想了想为什么对男性那么大成见哦原来是因为厌男,2,2,
我为什么恐男♂，为什么恐婚恐育，看看最近的新闻就知道了,2,3,
最近和好多一次性男生接触恐男都好了许多[龙卷风],2,1,
我恐男越来越严重了不过我不觉得这是病，我也不打算改,2,2.5,
#严惩唐山烧烤店打人事件狂徒#真的恐男，与日俱增的恐,2,3,
感谢室友每天一个恐男小技巧…（小谢在建立三观中…因为三观崩了…）,2,3,
不是我受不了了披哥总决赛就像一坨男人的颅内高潮。。哭得稀里哗啦就是有种好哥们江湖再见只有跟你们在一起我最快乐，现在我又得回家做起我的好爸爸好丈夫嗯我为了家庭牺牲了一切没办法这就是男人的责任。。我服了你们。。厌男症再次进入危险期。。这节目里几个爹都超爱炫自己顾家，话中话感觉是家栓住了我老婆管我我从男孩变男人。。老天奶啊他们没苦硬吃你能不能下点苦,2,4,
今天给我们代课的体育老师太帅了我直接上一秒恐男下一秒帅哥和我谈恋爱,1,1,
心血来潮喷了个男香，现在感觉身边都是男人，又开始恐男了,2,1,
#怀孕时看到男友的聊天记录#每天一个恐婚，恐男，恐育小技巧等什么时候渣男全死了再结婚吧。反正公鼠都能分娩了，男人分娩还远吗嗯哈哈！就像禁忌女孩里的渣男怀孕一样，等什么时候男性分娩实现了自个儿生去吧,2,5,
#单亲妈妈卖房给儿子买婚房被拉黑#每天一恐男小新闻我会每天参加恐男行动,2,3,
最近身边发生的事情和微博的阴间新闻让我厌男额度已满甚至已经溢出来了！不守男德?儿骨折?,2,4,
恐男啊，如果可以远离某些男的，我一定多积德,2,1.5,
#前夫晒大S婚内联系具俊晔实锤#到底是哪样啊，我吃瓜看得稀里糊涂的，但是如果真的是大S说的那样，我真的会恐男#大s发声#,2,1.5,
我为什么恐男恐婚恐育？还不是因为有我爸这样的人,2,3,
真的会恐男，真的真的，想想就脊背发凉。为什么有些男人本来挺正常的，突然间就会发疯啊，真的好怕,2,3.5,
#男子出轨后开车撞妻子被女儿拦下#今日恐男心得:只要离男的远一点，就什么事都不会有,2,3,
真的恐男了今天去公共厕所外面等乌龟看见一个穿boy的壮汉走来立马钻进厕所出门应该带把刀草率了,2,4.5,
每次在大学城附近，不管南京还是现在，看到人群就恐男,2,1.5,
#女子在酒吧厕所被男子强行拖进隔间#好恶心恐男不是没理由的这能不恐吗,3,3.5,
多少女性是因为身边的男性而变得恐婚，恐男，甚至厌男的,2,2,
#年轻人恐婚恐育的真正原因是什么#男的恐彩礼，女的恐男,2,1.5,
#警方回应女子被男子拖进厕所隔间#恐男也不是没有原因的,2,3,
#将母女拖拽进屋的雨衣男已被拘留#恐男的一部分原因来自男罪犯，另外一部分来自帮男罪犯开脱的男人,2,3,
每天一个恐男小技巧，网络世界人均高知分子，会敲键盘就是不一样,2,2,
好。。刚刚在跟我妈讲我走班课的男的身上有多臭的时候我妈来了句：你越来越厌男了是吧,2,3.5,
#严惩唐山烧烤店打人事件狂徒#所以恐婚恐男率越来越高不是没有理由的走在路上后面但凡多个声音都让人恐慌是这个时代该出现的现象吗？,2,4.5,
#结婚前发现未婚夫是亿万富翁#外国独立男性闪光时刻嗷吃干饭见死不救让女朋友卖遗物牛嗷每天一个恐男小技巧~,2,2,
每天一些恐男大眼真是个好平台，删博限转，世界就一片祥和，罪恶就不曾存在过了～记得人大文学院王贵元猥亵学生，坏人已受罚。只是失业，他赔偿受害人了吗？他道歉了吗？他的圈子会不会打击报复？但勇于反抗的学生如何了？是自愿删除的吗？还是被威严的美名在外的第三方已权势威胁恐吓了？她找到新导师了吗？她两三年时间如何弥补？谁来补偿她？她可以好好毕业吗？还记得徐州丰县铁链女，她的铁链解开了吗？24年了那个些个自称她丈夫儿女的人，有把她当成一个人了吗？舆论凶凶，一两天而已，漫长前因得到赔偿了吗？后路漫漫，大概也不会记得～,2,2.5,
#温岭公安通报时代广场持刀伤人事件#死刑谢谢，不死刑只会让越来越多的女性恐男恐婚，结婚率只降不升是有原因的,2,3,
真的会恐男，特别是看到这么多事情，受害者还都是女性，小的大的，无语了，毁灭吧。,2,4,
#警方通报一女子在公厕被人殴打#栓q每日恐男,2,3,
#遭追求者砍杀女硕士家属发声#每日一个恐男小妙招,2,3,
每次刷zh和db都会更恐男＋恐婚。不要小孩是绝对没商量的了，但本来愿意结婚的意愿也有点动摇，反正不结婚也能谈恋爱为什么要结婚呢……,2,3.5,
全世界最恐男的漂亮女孩邓小慈，全世界最娇气最毒舌的笨蛋小妹邓小慈，全世界最招人疼让我爱不释手的美女老婆邓小慈,1,1,
我：superstraight喜欢好多男的一天换一个但我还是不想恋爱不想和男的有瓜葛每天一个恐男恶心故事,2,4,
#母女被雨衣男拖进屋内发生地不在广宁#恐男,2,2.5,
#严惩唐山烧烤店打人事件狂徒#一天了人还没抓到？这是正常的办事效率？不要想着拖延等热度下去，这不是小事，这件事不解决，女性出门得永远带防身武器，甚至会让女性恐男，难平民愤,该,3,
#田甜和家暴男离婚#md真的恐男了这种男的真的太恐怖了,2,3,
读研带给了我什么，带给了我小心翼翼和诚惶诚恐多和男的讲一句话我都怕他多想太难了互联网裸奔+现实中社死第一次真切的恐男半夜气到睡不着开始怀疑人生,3,4.5,
#男子出轨后开车撞妻子被女儿拦下#我恐男恐婚是有理由的,3,3,
#上海金山砍人事件原因#又是恐男的一天呀～,2,2.5,
厌男时刻：看beastars漫画和少革动画的评论区时,2,2,
挖槽微博热搜那个视频太恶心了我操恐男了我操,2,3.5,
每天听顾亦杰讲故事真的能让我的恋爱脑逐渐清醒笑死了一天一个厌男小技巧,2,2,
#官方通报男子砍杀柯基威胁妻子#每天一个恐婚恐男小技巧,2,2.5,
应该不会有人骂我厌男又滑男吧、、姐不过把男人当玩物,2,1,
大早上吓得我双腿发软恐男+10000000000000000000！,5,4,
第一反应就是觉得这种没有师德的人渣怎么会在身边，第二反应就是学校一定会站在对立面息事宁人，还有那些庇佑人渣们的男权社会，就像一座座推不倒的大山，所以在人们的潜意识里，性骚扰永远无法被教育，被惩戒，日常恐男??#社会人渣#,2,3.5,
#郭碧婷还在哺乳期#好恶心每日恐男恐婚恐育1/1心疼美女,2,3,
扯上我们，是不是傻，一看厌男的，眼里只有彼此。,2,1,
#女子称怀孕7月被男友打致先兆流产#流产对身体影响很大的。自己的孩子都保护不了……这男的也是个渣男，推孕妇违法吗？以后要随身带刀，电击棒，不然太危险了，对，还要去学防身术，又是恐男的一天。,2,4.5,
看完一些女孩子的真实经历我现在不仅是恐婚已经开始恐男了,2,2,
我是不是真的厌男啊感觉不敢跟男的说话也不想说话更不想有任何身体接触最讨厌男的了,2,4.5,
#男子因3万元连捅前女友数十刀致死#每天一个恐男小技巧，又学到了,2,2,
这一天天的都整啥阴间新闻？妈的日常恐男了把我二十米大刀拿出来磨一下砍掉他们jj,2,4.5,
我服了，你自己觉得这么穿没问题吗？好厌男，其实我在学校看到男的穿成这样都想吐?,2,3.5,
现在出轨的男人可真多，真是平平无奇的小恶心精厌男了我,2,3,
#被丈夫多次碾压致死女子弟弟发声#每日恐男kpi已完成,2,2,
#成都一男子公交站外持刀伤人致死#厌男的一天从凌晨开始,2,3,
本来有好感的人，却因为越来越黏人感到厌烦……严重到看到他发句话都烦开始厌男,2,3.5,
厌男的情绪在看完男人为什么嫖娼后达到了高峰，呕,2,4,
#雨衣男强行与前妻发生性关系后潜逃#要吐了好恶心，强行发生关系，就是qj，日常恐男,2,4,
看了禁忌女孩真的恐恋恐婚恐育恐男恐女崆峒恐人、、,2,2.5,
奇怪的是我对不是我推的人都能get到梦点带来的心动感，别人的梦文我甚至能夸两句写得好，对自推的梦点我能理解但是很难设身处地自己去代入，甚至会有点恐惧和不适，难道是近乡情怯？可是如果自推真是女的我又没这种排斥的感觉了，不能说是同人的立场吧感觉跟个人取向或者立场有点关系，可能真的在亲密关系方面有点恐男？生理因素真没办法了,3,3,
我发现我可能真的厌男了以前我的睡眠小故事编的都是跟男的我发现这几天我怎么编都带入不了编一编就想别的事挺好不能爱男,2,2,
#结婚前发现未婚夫是亿万富翁#明明有钱?还要女朋友养你，有病日常恐男。恶心不?,2,3,
我的routine：每日恐婚（n/1）每日恐育（1/1）每日恐同（n/1）每日恐男（n/1）每日养胃（1/1）每日乳化（1/1）,2,2,
#上外男生所投系牛磺酸泡腾片#还搞下去我真的要恐男了，我曾经多么喜欢男人啊,2,2,
最近鲍人渣的事等等，本来一开始我只是厌男的，现在我是恐男了一生的阴影#鲍毓明回应性侵养女#,5,2.5,
#上外男生所投系牛磺酸泡腾片#怎么一个个都这么恶心?，恐男加深,2,4,
之前我厌男厌得有点厉害，只对熊（不要肚子）有点好感。但对女孩子完全没有这种考虑，不是不喜欢，是太喜欢了。,2,3,
#长郡中学数学老师段向阳猥亵学生#这种事情每个人都有可能遇到，不要以为有些老师表面看起来很好，只要和异性共处一室的时候都要找多几个人陪伴哪怕是最亲戚之类的，这给学生留下一辈子的阴影，甚至经常做噩梦，厌男，恶心，反胃，消瘦，对某些东西产生一系列pstd……,5,4.5,
#上外男生所投系牛磺酸泡腾片#恶心，每天一个恐男小技巧??,2,3,
真的恐男了！！！喝酒闹事男滚远点啊！！！酒品不好就别喝啊！！！,2,3,
#网传女子被男子拖拽进厕所隔间#就是说再次恐男了家人们,2,2.5,
【投稿】想问一下不是独生子的姐妹们，对自己的兄弟姐妹是一种什么感情呢，尤其是姐姐对弟弟的感情。我和我弟弟相差七岁，从小在一起长大的，没有分开过。家庭也很和睦，没有大矛盾。可我对我弟弟没有一点感情，我也不是不喜欢小孩，我上大学的时候因为要离开我一岁多的侄子哭了，他甚至只是一周来一两次我家而已。想家也都是想好吃的，想爸爸妈妈，从来没想过我弟弟，甚至现在越来越讨厌他，还什么都不懂的小男孩，又不爱干净，又没有情商。我完完全全把自己当作他的长辈，所以他说一些稍微“冒犯”的话我就会很生气。包括我俩的性别，我总觉得姐弟是个让人不太舒服的组合（没有冒犯的意思）。爸爸妈妈从来都很注重公平，买吃的都是买两份，我什么也没缺过，我弟的童年甚至还没有我一半幸福。但我感觉得到，越来越长大，越来越偏向他了。特别是在爸妈辛苦一辈子才能挣到一套房子的普通家庭，买两份的公平也只能维持在吃的上了。比如昨天，好几个月没喝奶茶了，出去玩想喝，我和我弟一人买了一杯，我推荐给他我点的奶茶，他没要，点了一杯xx柠檬，到手之后果然他不喜欢喝，在我明确表达我接受不了他拿我的吸管喝之后（他真的很懒，不愿意刷牙），我想分给我妈尝尝，结果我妈到手里就塞给他了。结果就是两杯我只喝了一口。这种事让我更加讨厌他，甚至想过以后只给爸妈买东西，不想给钱，不想让他们花在我弟身上。写的有点太长了，谢谢愿意看我的情绪垃圾，只是最近恐男的新闻看得多了，觉得只有爸妈的感情才是真的感情，所以对他们偏心格外敏感了些。其实该倒苦水的也不该是我，应该是被我冷漠甚至暴躁对待的我弟。他们都没有做错什么，我才应该大度一点看开一点。,2,2.5,
恐男了…如果以前只是厌，现在是恐有多远躲多远,5,3.5,
