number,weibo_text,tokenized_text,opposite_sex_social_avoidance_1,opposite_sex_social_avoidance_2,opposite_sex_social_avoidance
63,讲道理，我以前对男性真的没有过多的厌恶或者不喜欢，但是今天发生的事情让我彻彻底底的开始厌男了,讲道理/以前/男性/没有/过多/厌恶/不/喜欢/今天/发生/事情/彻彻底底/厌,1,3,2
64,#唐山男子打人前对女孩说侮辱性字眼#真的很恶心男的是不是整天就知道那点事?看了这两天的新闻之后真的失望透顶本来对恋爱抱有幻想的我逐渐开始产生恐男情绪我还是好好追星吧,男子/打人/前/女孩/侮辱性/字眼/恶心/是不是/整天/知道/那点/事/两天/新闻/失望透顶/本来/恋爱/抱有幻想/逐渐/产生/恐男/情绪/好好/追星,4,4,4
65,真的好讨厌猪男啊吃饭要哼吃完一躺抽烟喝酒不干事每日恐婚恐男+1,讨厌/猪/吃饭/吃/完一/躺/抽烟/喝酒/不/干事/每日/恐婚/恐男,3,5,4
66,#上外通报一学生被投放异物#最近真的恐男套餐刷新三观,学生/投放异物/最近/恐男/套餐/刷新/三观,3,4,3.5
67,在今天我要表明一下自己的立场，顺直朋友们如果你在我这里吐槽你的老公又转头与他相爱，我会恨你并且与你绝交。不要把我当垃圾桶，我就是脑子拐不过弯，无法根据现实情况改变思想，会站在你立场上狠狠讨厌你的老公，顺便讨厌世界上所有的男人。是的，我厌男是你害的。,今天/我要/表明/立场/朋友/吐槽/老公/转头/相爱/我会/恨/绝交/不要/垃圾桶/脑子/拐/弯/无法/现实情况/改变/思想/会站/立场/狠狠/讨厌/老公/顺便/讨厌/世界/男人/厌/害,2,3,2.5
68,我真的特别讨厌厌男不包括正常男性这种说辞，既然你讨厌的只是不正常男性那不是厌男，那是讨厌sb,特别/讨厌/厌/不/包括/正常/男性/这种/说辞/讨厌/不/正常/男性/厌/讨厌/sb,1,2,1.5
69,真真真真真的恐男完全不知道怎么回复别人消息尴尬极了尴尬极了毁灭吧,恐男/完全/不/知道/回复/消息/尴尬/尴尬/毁灭,1,2,1.5
70,#网传女子被男子拖拽进厕所隔间#又是恐男小技巧啊！,网传/女子/男子/拖拽/进/厕所隔间/恐/技巧,3,3,3
71,想说明一下我昨天那个微博（没说清所以删了我说我厌男厌恶的是那类油腻自以为是大男子主义的渣男看qj以及对女性施暴的新闻看的我真的好心痛小吴推荐我看的摩天大楼我不敢看女性到底要怎样做才能平平安安呢？受害者不光是女性还有男性（推荐看卷福演的帕特里克梅尔罗斯）那些畜生只会用下半身思考的蠕虫不他们连思考都不会连畜生都不如根本不配活着?如果法律都没办法作为最后的保障受害人该有多绝望啊？！,说明/昨天/微博/没说/清/删了/厌/厌恶/那类/油腻/自以为是/大男子主义/渣男/qj/女性/施暴/新闻/心痛/吴/推荐/摩天大楼/不敢/女性/到底/做/平平安安/受害者/女性/男性/推荐/看卷/福演/帕特里克/梅尔/罗斯/畜生/会用/下半身/思考/蠕虫/不/思考/不会/畜生/根本/不配/活着/法律/没/办法/最后/保障/受害人/绝望,5,3,4
72,我的厌男情绪通常在虎扑步行街发我喜欢的小姐姐的博的评论区里呈指数上升,厌/情绪/通常/虎/扑/步行街/发/喜欢/小姐姐/博/评论/区里/呈/指数/上升,1,3,2
73,#孕妇出车祸瘫痪丈夫欲离婚#妇联存在吗？恐男了…,孕妇/出车祸/瘫痪/丈夫/欲/离婚/妇联/存在/恐,3,3,3
74,一天一个恐男小技巧今天听室友说她今天看到的一件事成功让我yue了,恐男小/技巧/今天/听/室友/今天/看到/一件/事/成功,4,4,4
75,#男子因吵架拿啤酒瓶刺死女友#每天一个恐男小故事,男子/吵架/啤酒瓶/刺死/女友/每天/恐男小/故事,3,3,3
76,西八当我发现不止一个男的上厕所不洗手我恐男+1分,西八当/发现/不止/厕所/不/洗手/我恐/分,3,3,3
77,#缩短教育时间能提高生育率吗#跟本就不是这个问题好吧，现代女性不想结婚生孩子是因为太多的家暴出轨，男的膀大腰圆（不是说所有）啥事没有，女性胖就会因此自卑焦虑（不是说所有），女性想离婚也会因为孩子有顾虑（不是说孩子有错），一面要面临生孩子的痛苦和风险以及抚养孩子长大的责任一面又要面临可能找到一个人渣的风险。而且其实很多时候其实女性如果经济独立就算有孩子也不会有任何问题，在国外就可以买j子，但前提得有钱，只是这对孩子比较不公平，现在中国的女性虽然相较别国受教育程度要高出很多，但还是会有挺多不公平待遇，能靠自己的努力去争取高质量且独立自由的生活，为什么要冒着可能找到一个人渣的风险去过日子呢（况且并不是所有人都这么想）所以缩短教育时间只会让女性学习更加刻苦努力实现财富自由，厌男使生育率再次下降，要真想提高生育率，你可以研究研究人工子宫造就双性人，这样你好我好大家都好,缩短/教育/时间/提高/生育率/问题/现代/女性/不想/结婚/生/孩子/是因为/太多/家暴/出轨/膀大腰圆/啥事/没有/女性/胖就会/自卑/焦虑/女性/离婚/孩子/顾虑/孩子/有错/一面/面临/生/孩子/痛苦/风险/抚养/孩子/长大/责任/一面/面临/找到/人渣/风险/很多/女性/经济/独立/孩子/不会/问题/国外/买/j/子/前提/有钱/孩子/比较/不/公平/中国/女性/相较/别国/受/教育/程度/高出/很多/挺/不/公平/待遇/努力/争取/高质量/独立/自由/生活/找到/人渣/风险/过日子/所有人/缩短/教育/时间/只会/女性/学习/更加/刻苦/努力实现/财富/自由/厌男使/生育率/再次/下降/真想/提高/生育率/研究/研究/人工/子宫/造就/双性人/你好,3,5,4
78,今天又是恐男的一天呢intoyou04针不戳,今天/恐/intoyou04/针/不/戳,1,2,1.5
79,今天本来心情很好的，但是刚刚看微博刷到了西安地铁的事件，真的忍不住自我带入了一下，不管原因为何，那种大庭广众之下被男性扯得衣衫不整，那种无力的绝望感，真的让人心生恐惧。这个社会，真的太让我恐男厌男了，突然就觉得我磕的夫夫cp都是些什么绝世好男人啊，哎！或许这就应了那句话：男的和男的过得很幸福，女的和女的过得也很幸福，但是男的和女的就过不到一起吧。和我身边的朋友聊天，大家的恋爱观婚姻观都差不多，总的来说就是：结个屁婚谁愿意生孩子谁生去吧啥都不如?来的实在，哈哈，我还想着以后和我的姐妹手拉手去跳广场舞哪。以后不刷微博了，真是太影响心情，哼，生气ing！,今天/本来/心情/刚刚/微博/刷/西安地铁/忍不住/自我/带入/原因/大庭广众/之下/男性/扯/衣衫不整/无力/绝望/感/人心/生/恐惧/太/恐/男厌/突然/磕/夫夫/cp/绝世/男人/或许/应/那句话/幸福/女/女/幸福/女/不到/一起/身边/朋友/聊天/恋爱观/婚姻观/差不多/结个/屁婚/愿意/生/孩子/生去/实在/想着/以后/姐妹/手拉手/跳/广场/舞/以后/不刷/微博/真是太/影响/心情/生气/ing,2,5,3.5
80,另一个快角度来看我还得谢谢你让我恐男恐恋的情绪又到达顶点,快/角度/来看/恐/恐恋/情绪/到达/顶点,3,3,3
81,#遭追求者砍杀女硕士家属发声#每天一个阴间新闻，不说了，恐男的不知道第多少天,遭/追求者/砍杀/女硕士/家属/发声/每天/阴间/新闻/不/恐/不/知道/天,3,3,3
82,#妻子流产抑郁加重男子申请撤销婚姻#本来因为学习的事就烦恐男+1,妻子/流产/抑郁/加重/男子/申请/撤销/婚姻/本来/学习/事/烦恐,3,3,3
83,#女子称怀孕7月被男友打致先兆流产#每天一个恐男小技巧,女子/称/怀孕/月/男友/打致/先兆/流产/每天/恐男小/技巧,3,3,3
84,今天的微博热搜是为了让女性更加害怕吗一连串真的给人整恐婚恐男了（非恐正常男性）,今天/微博/热/搜是/女性/更加/害怕/一连串/人整/恐婚/恐男/非恐/正常/男性,3,3,3
85,#25岁小伙胸部B罩杯被分手了#每日恐男每次看见肥头油腻猪就觉得年夜饭会吐出来,25/岁/小伙/胸部/B/罩杯/分手/每日/恐男/每次/看见/肥头/油腻/猪/年夜饭/吐出来,4,4,4
86,XYG电子竞技俱乐部超话家人们我感觉我有点恐男难搞,XYG/电子竞技/俱乐部/超话家/恐男/难搞,1,1,1
87,恐男了…………抖音上看到肥头大脸带金链子的都慎得慌,恐男/抖/音上/看到/肥头/大脸/带金/链子/慎得/慌,4,3,3.5
88,谁能懂我总是在厌男和想谈恋爱#男子结扎#中反复横跳,懂/总是/厌/谈恋爱/男子/结扎/中/反复/横/跳,1,1,1
89,通过和异性朋友的相处，真的让我越来越恐男了,异性/朋友/相处/越来越/恐男,3,2,2.5
90,#将女友推向行驶中公交车男子被刑拘#一天一个恐男新闻这样太恶毒了,女友/推向/行驶/中/公交车/男子/刑拘/恐男/新闻/太/恶毒,3,3,3
